City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3833367,Ushuaia,AR,-54.8,-68.3,49.66,71,75,0.0
2015852,Svetlaya,RU,46.5389,138.3297,52.16,69,1,8.99
1651810,Airai,TL,-8.9266,125.4092,60.91,91,100,2.8
4030556,Rikitea,PF,-23.1203,-134.9692,73.87,66,0,14.79
2088659,Panguna,PG,-6.3164,155.4848,68.97,95,64,1.97
607610,Zhangaözen,KZ,43.3,52.8,91.87,7,98,16.11
2122090,Pevek,RU,69.7008,170.3133,19.83,91,52,8.88
3386213,Touros,BR,-5.1989,-35.4608,83.3,68,30,11.86
358619,Port Said,EG,31.2565,32.2841,78.78,57,0,11.5
2702261,Kalmar,SE,56.6616,16.3616,62.53,55,40,6.91
2180815,Tuatapere,NZ,-46.1333,167.6833,46.81,90,100,10.65
2075265,Busselton,AU,-33.65,115.3333,54.05,85,0,4.74
1803560,Lingao,CN,19.9103,109.6859,82.17,77,32,4.68
1082243,Ambilobe,MG,-13.2,49.05,78.06,74,17,3.44
3622537,Parrita,CR,9.5201,-84.3225,82.54,67,55,1.5
2140466,Moindou,NC,-21.6924,165.677,69.75,74,100,9.26
2638419,Scarborough,GB,54.2797,-0.4044,57.11,69,99,3.0
3412093,Vestmannaeyjar,IS,63.4427,-20.2734,41.99,75,90,8.05
5563839,Fortuna,US,40.5982,-124.1573,45.52,66,90,4.61
5282297,Bethel,US,41.3712,-73.414,68.7,54,1,6.91
2163355,Hobart,AU,-42.8794,147.3294,53.02,77,20,3.0
1328421,Pathein,MM,16.7833,94.7333,85.55,68,15,9.33
4020109,Atuona,PF,-9.8,-139.0333,78.35,73,47,11.07
2074865,Carnarvon,AU,-24.8667,113.6333,66.27,88,4,8.05
6185377,Yellowknife,CA,62.456,-114.3525,22.24,68,20,4.0
935215,Saint-Philippe,RE,-21.3585,55.7679,78.31,80,48,7.07
5866583,Saint Paul Harbor,US,57.79,-152.4072,35.11,87,1,6.91
2112802,Hasaki,JP,35.7333,140.8333,62.53,95,100,10.94
363619,Yei,SS,4.095,30.6779,80.87,64,100,1.12
1053384,Toamasina,MG,-18.1667,49.3833,84.2,58,20,9.22
3466980,Caravelas,BR,-17.7125,-39.2481,82.94,50,87,2.55
3405380,Bom Conselho,BR,-9.1697,-36.6797,74.46,77,87,7.76
5546220,Saint George,US,37.1041,-113.5841,61.43,45,1,0.0
933995,Souillac,MU,-20.5167,57.5167,79.18,73,40,8.7
4035715,Avarua,CK,-21.2078,-159.775,77.05,88,40,13.8
3831208,Qaanaaq,GL,77.484,-69.3632,21.06,78,68,2.28
3443061,Chui,UY,-33.6971,-53.4616,58.84,60,31,7.61
5106841,Albany,US,42.6001,-73.9662,64.72,47,93,6.24
541446,Krasnyy Profintern,RU,57.7446,40.435,87.82,59,57,13.67
1831112,Kampot,KH,10.6167,104.1833,82.17,82,100,4.63
3894426,Coyhaique,CL,-45.5752,-72.0662,39.15,100,90,0.0
3703443,Panama City,PA,8.9936,-79.5197,81.55,77,40,8.05
2071860,Esperance,AU,-33.8667,121.9,62.44,87,100,0.92
3421982,Maniitsoq,GL,65.4167,-52.9,35.29,59,83,11.05
6165406,Thompson,CA,55.7435,-97.8558,35.76,87,90,13.8
88533,Awjilah,LY,29.1081,21.2869,98.31,10,3,10.42
3652764,Puerto Ayora,EC,-0.7393,-90.3518,76.55,88,3,8.99
4032243,Vaini,TO,-21.2,-175.2,75.36,88,20,6.91
932987,Tsabong,BW,-26.0217,22.401,80.04,18,0,9.42
2153778,Parkes,AU,-33.1333,148.1833,41.36,78,0,4.29
2019935,Mnogovershinnyy,RU,53.9353,139.9242,32.54,98,100,3.04
1226260,Trincomalee,LK,8.5711,81.2335,85.89,72,93,8.81
3874787,Punta Arenas,CL,-53.15,-70.9167,44.42,93,90,1.57
3175096,Laas,IT,46.6166,10.7002,64.24,78,90,1.1
2122614,Ekhabi,RU,53.5102,142.9671,32.85,97,100,5.68
1735106,George Town,MY,5.4112,100.3354,85.3,77,20,5.75
1635882,Mataram,ID,-8.5833,116.1167,77.81,86,98,5.68
3620170,Diriamba,NI,11.8584,-86.2388,74.48,55,45,10.13
2171099,Codrington,AU,-38.2667,141.9667,48.72,85,95,8.43
964432,Port Alfred,ZA,-33.5906,26.891,75.43,39,7,2.53
546105,Nikolskoye,RU,59.7035,30.7861,76.86,79,100,6.38
1529651,Altay,CN,47.8667,88.1167,65.26,48,30,7.05
584715,Xudat,AZ,41.631,48.681,69.87,72,65,10.4
1267390,Kavaratti,IN,10.5669,72.642,83.46,76,100,12.39
3837702,San Fernando del Valle de Catamarca,AR,-28.4696,-65.7852,68.77,87,16,4.0
3520994,Puerto Escondido,MX,15.85,-97.0667,77.83,78,75,8.05
6089245,Norman Wells,CA,65.282,-126.8329,37.44,52,75,0.0
934322,Mahébourg,MU,-20.4081,57.7,79.09,73,40,5.75
5870133,Nome,US,64.5011,-165.4064,30.27,93,90,4.61
2109701,Auki,SB,-8.7676,160.7034,78.35,89,100,4.92
542184,Krasnovishersk,RU,60.4078,57.082,66.6,49,6,5.03
5122534,Jamestown,US,42.097,-79.2353,62.73,64,1,1.01
2513052,Osuna,ES,37.2377,-5.1075,83.79,17,11,8.99
2264557,Ponta do Sol,PT,32.6667,-17.1,75.54,53,1,4.88
777019,Vardø,NO,70.3705,31.1107,44.58,87,75,3.44
60019,Eyl,SO,7.9803,49.8164,90.86,51,100,21.97
1519422,Semey,KZ,50.4111,80.2275,80.82,28,40,15.66
2126199,Cherskiy,RU,68.75,161.3,31.91,82,22,7.05
6111862,Port Hardy,CA,50.6996,-127.4199,41.18,93,75,10.36
2070998,Geraldton,AU,-28.7667,114.6,64.81,72,100,3.89
4556050,Woodward,US,36.4337,-99.3904,56.66,79,40,4.9
6201424,Mataura,NZ,-46.1927,168.8643,46.47,95,100,9.95
2110227,Butaritari,KI,3.0707,172.7902,82.33,81,87,15.32
2611060,Tvøroyri,FO,61.5556,-6.8111,43.99,70,100,21.59
5969025,Haines Junction,CA,60.7522,-137.5108,35.55,87,19,2.3
1648082,Boyolangu,ID,-8.1181,111.8935,76.01,90,65,4.43
2190299,Hanmer Springs,NZ,-42.5167,172.8167,46.49,80,68,13.02
3489657,Lucea,JM,18.451,-78.1736,84.06,67,15,3.6
1015776,Bredasdorp,ZA,-34.5322,20.0403,65.52,51,94,2.98
2514651,Los Llanos de Aridane,ES,28.6585,-17.9182,72.12,75,20,9.46
1510689,Baykit,RU,61.67,96.37,30.96,73,36,4.32
2294877,Tamale,GH,9.4008,-0.8393,100.72,31,16,7.87
5855927,Hilo,US,19.7297,-155.09,66.72,88,12,5.99
3448455,São Miguel do Araguaia,BR,-13.275,-50.1628,87.17,39,92,1.99
1254046,Tura,IN,25.5198,90.2201,75.85,91,96,3.58
3369157,Cape Town,ZA,-33.9258,18.4232,70.21,43,0,5.41
3985710,Cabo San Lucas,MX,22.8909,-109.9124,73.4,51,0,11.16
1819729,Hong Kong,HK,22.2855,114.1577,86.14,81,27,5.01
2017155,Saskylakh,RU,71.9167,114.0833,31.15,96,100,15.48
964420,Port Elizabeth,ZA,-33.918,25.5701,73.69,40,0,6.91
2206939,Bluff,NZ,-46.6,168.3333,46.8,75,100,25.46
1282256,Hithadhoo,MV,-0.6,73.0833,84.81,69,0,4.9
3141667,Roald,NO,62.5833,6.1333,49.03,87,75,16.11
5024719,Duluth,US,46.7833,-92.1066,61.39,64,1,1.01
2155415,New Norfolk,AU,-42.7826,147.0587,51.85,76,73,3.0
2176639,Batemans Bay,AU,-35.7167,150.1833,45.91,86,0,4.65
3893629,Coquimbo,CL,-29.9533,-71.3436,58.73,85,90,4.97
2399001,Mayumba,GA,-3.432,10.6554,81.55,80,100,7.16
3366880,Hermanus,ZA,-34.4187,19.2345,65.8,57,89,3.71
2152659,Port Macquarie,AU,-31.4333,152.9167,51.3,90,12,5.64
6164499,The Pas,CA,53.8251,-101.2541,51.82,50,1,12.48
286621,Salalah,OM,17.0151,54.0924,87.89,74,20,10.36
1630058,Karaton,ID,-6.3424,106.1045,79.54,93,94,2.55
2126123,Chokurdakh,RU,70.6333,147.9167,30.54,96,100,8.55
3416888,Grindavik,IS,63.8424,-22.4338,43.57,71,75,3.83
3374333,Praia,CV,14.9215,-23.5087,86.54,39,20,17.27
556268,Ostrovnoy,RU,68.0531,39.5131,62.06,64,100,12.8
3646382,Carupano,VE,10.6678,-63.2585,82.78,71,96,10.96
1488903,Turukhansk,RU,65.8167,87.9833,29.41,75,95,11.14
256660,Mouzourás,GR,35.5333,24.15,84.2,48,0,11.5
5880054,Barrow,US,71.2906,-156.7887,26.62,93,90,8.05
3372707,Ribeira Grande,PT,38.5167,-28.7,68.4,94,40,8.05
2084442,Vanimo,PG,-2.6741,141.3028,79.36,88,26,4.52
2664339,Vasterhaninge,SE,59.1167,18.1,63.61,62,96,6.78
2058430,Whyalla,AU,-33.0333,137.5833,49.89,57,77,8.05
1862505,Hirara,JP,24.8,125.2833,80.1,89,78,13.02
2168305,Dubbo,AU,-32.25,148.6167,39.33,87,0,4.61
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,76.86,73,20,6.91
3441273,Paso de los Toros,UY,-32.8167,-56.5167,48.54,67,3,4.16
2012530,Zhigansk,RU,66.7697,123.3711,34.09,55,100,8.66
3421765,Nanortalik,GL,60.1432,-45.2371,37.63,73,49,2.06
2123628,Magadan,RU,59.5667,150.8,32.04,98,100,5.28
2304548,Anloga,GH,5.7947,0.8973,86.22,72,94,13.82
5859699,College,US,64.8569,-147.8028,41.88,85,75,0.0
3418910,Upernavik,GL,72.7868,-56.1549,35.02,84,100,6.17
5563397,Eureka,US,40.8021,-124.1637,46.47,91,87,2.62
2094342,Kavieng,PG,-2.5744,150.7967,83.19,79,58,15.64
1519924,Kushmurun,KZ,52.4503,64.6311,74.48,48,72,7.07
3388145,São Raimundo Nonato,BR,-9.0153,-42.6994,90.46,34,74,6.76
2126682,Bilibino,RU,68.0546,166.4372,21.79,92,95,4.27
4034551,Faanui,PF,-16.4833,-151.75,80.6,76,30,20.92
5955826,Fort Frances,CA,48.5999,-93.4003,65.39,55,1,3.44
2167426,Emerald,AU,-23.5333,148.1667,57.34,47,0,6.91
5919850,Chapais,CA,49.7834,-74.8492,40.78,51,100,5.64
2028164,Deputatsky,RU,69.3,139.9,23.74,99,97,3.67
513898,Otradnoye,RU,59.7775,30.8181,68.88,80,100,5.84
3466704,Castro,BR,-24.7911,-50.0119,62.76,56,0,2.93
4919381,Crawfordsville,US,40.0411,-86.8745,62.22,82,75,8.05
4914710,Vermilion,US,40.1667,-87.7506,62.78,92,90,1.99
2925080,Gezing,AT,47.9178,13.1299,53.28,99,75,6.06
1337616,Naifaru,MV,5.4444,73.3657,84.16,77,46,15.99
3163146,Andenes,NO,69.3143,16.1194,55.38,71,75,12.66
3421719,Narsaq,GL,60.9167,-46.05,41.22,49,29,3.04
5367788,Lompoc,US,34.6391,-120.4579,51.67,77,90,6.91
5364271,Laguna,US,38.421,-121.4238,53.37,79,1,1.01
1511276,Atagay,RU,55.1033,99.3875,42.44,94,100,3.09
